connector,status_message,link_name
73,"#ElectionWithTimes प्रधानमंत्री नरेंद्र मोदी, कांग्रेस उपाध्यक्ष राहुल गांधी और पाटीदार नेता हार्दिक पटेल को एक चीज एक जैसा बनाती है। जानें क्या है वह...",'दे थाली!' के मामले में एक जैसे पीएम मोदी और राहुल
74,"पोषक तत्वों से भरपूर मखाना, सेहत के लिए कई तरह से फायदेमंद है...",अच्छी नींद चाहिए तो रोज खाएं मखाना
75,कोटा: 12 साल के बच्चे की टीचर की पिटाई के बाद मौत,कोटा: 12 साल के बच्चे की टीचर की पिटाई के बाद मौत
76,पहले वाले टैक्स सिस्टम से उलट जीएसटी सिस्टम में कंपनियों और बड़े कारोबारियों के लेनदेन का पता लगाया जा सकता है।,GST डेटा के जरिए इनकम टैक्स चोरों को पकड़ेगी सरकार!
77,इंडियन रेलवे टिकटों के लिए कैशलेस मोड से पेमेंट करनेवालों को जल्द इंसेंटिव देगा। तुरंत पढ़ें आपके काम की यह खबर...,अब रेल टिकट के लिए कैशलेस पेमेंट पर छूट
78,हमारे पास EVM है...😂😜😃,
79,"स्मॉग पर नहीं कंट्रोल, NGT ने दिल्ली और पंजाब सरकार को फटकारा","स्मॉग पर नहीं कंट्रोल, NGT ने दिल्ली और पंजाब सरकार को फटकारा"
80,#ElectionWithTimes मंगलवार को राहुल ने प्रधानमंत्री से सवाल पूछते हुए मैथ्स के गलत आंकड़े दे दिए थे। अब अपनी गलती पर भी राहुल गांधी ने खुद ही चुटकी ली है।,"गलती पर राहुल की चुटकी- मैं नरेंद्र भाई जैसा नहीं, इंसान हूं"
81,इसकी कीमत और खूबियां जानकर आपका मुंह खुला रहा जाएगा...,Yamaha ने भारत में लॉन्च की यह धाकड़ सुपरबाइक
82,डिंपल ब्यूटी Alia Bhatt श्रीदेवी की फैन हैं यह तो वह खुद भी बता चुकी हैं। अब वह अपनी रोल मॉडल का एक किरदार निभाने वाली हैं। जानें कौन सी फिल्म का बनेगा रीमेक...,श्रीदेवी का एक मशहूर किरदार निभाएंगी आलिया भट्ट
